# pyTRACMT third-party numerical data
# Source: TRACMT src/TableOfTukeysBiweightParameters.h
# Upstream: https://github.com/yoshiya-usui/TRACMT
# Upstream license: BSD-3-Clause. See THIRD_PARTY_NOTICES.md.
c,b_dim_1,b_dim_2,b_dim_3,b_dim_4,b_dim_5,b_dim_6,b_dim_7,b_dim_8,b_dim_9,b_dim_10,b_dim_11,b_dim_12,b_dim_13,b_dim_14,b_dim_15,b_dim_16,b_dim_17,b_dim_18,b_dim_19,b_dim_20,b_dim_21,b_dim_22,b_dim_23,b_dim_24,b_dim_25,b_dim_26,b_dim_27,b_dim_28,b_dim_29,b_dim_30,b_dim_31,b_dim_32,b_dim_33,b_dim_34,b_dim_35,b_dim_36,b_dim_37,b_dim_38,b_dim_39,b_dim_40,b_dim_41,b_dim_42,b_dim_43,b_dim_44,b_dim_45,b_dim_46,b_dim_47,b_dim_48,b_dim_49,b_dim_50,b_dim_51,b_dim_52,b_dim_53,b_dim_54,b_dim_55,b_dim_56,b_dim_57,b_dim_58,b_dim_59,b_dim_60,b_dim_61,b_dim_62,b_dim_63,b_dim_64,b_dim_65,b_dim_66,b_dim_67,b_dim_68,b_dim_69,b_dim_70,b_dim_71,b_dim_72,b_dim_73,b_dim_74,b_dim_75,b_dim_76,b_dim_77,b_dim_78,b_dim_79,b_dim_80,b_dim_81,b_dim_82,b_dim_83,b_dim_84,b_dim_85,b_dim_86,b_dim_87,b_dim_88,b_dim_89,b_dim_90,b_dim_91,b_dim_92,b_dim_93,b_dim_94,b_dim_95,b_dim_96,b_dim_97,b_dim_98,b_dim_99,b_dim_100,b_dim_101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000001,0.001606,0.001665,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001,0.0016670000000000001
0.20000000000000001,0.0061809999999999999,0.006633,0.0066649999999999999,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002,0.0066670000000000002
0.29999999999999999,0.013367,0.014833000000000001,0.014984000000000001,0.014999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999,0.014999999999999999
0.40000000000000002,0.02281,0.026141999999999999,0.026599000000000001,0.026658000000000001,0.026665999999999999,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667,0.026667
0.5,0.034172000000000001,0.040396000000000001,0.041463,0.041634999999999998,0.041661999999999998,0.041666000000000002,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003,0.041667000000000003
0.59999999999999998,0.047125,0.057394000000000001,0.059499999999999997,0.059908000000000003,0.059984000000000003,0.059997000000000002,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998
0.69999999999999996,0.061365000000000003,0.076899999999999996,0.080603999999999995,0.081441,0.081620999999999999,0.081657999999999994,0.081665000000000001,0.081666000000000002,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003,0.081667000000000003
0.80000000000000004,0.076602000000000003,0.098652000000000004,0.10463500000000001,0.10617500000000001,0.10655299999999999,0.106641,0.10666100000000001,0.106666,0.106666,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667,0.106667
0.90000000000000002,0.092573000000000003,0.122368,0.13142000000000001,0.13403000000000001,0.13474800000000001,0.134937,0.13498499999999999,0.134996,0.13499900000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001,0.13500000000000001
